OBJECTID;Anlage;Adresse;Typ;Gruppe;X;Y;Lon;Lat
1;Klettergarten Roßfall (ÖAV);Höttinger Alm;Klettergarten;Fitness/Klettern;78027,3711999999;240239,702500001;11,364655117;47,2963692600001
2;Klettergarten Mühlauer Klamm;Rechenhofweg;Klettergarten;Fitness/Klettern;81906,8324999996;239776,627499999;11,415853409;47,2917330490001
3;Klettergarten Mühlauer Klamm;Rechenhofweg;Klettergarten;Fitness/Klettern;81840,6327;239763,3136;11,41497595;47,291621558
4;Landeshauptschießstand Arzl;Eggenwaldweg 60;Schießstand;Sonstiges;82764,4121000003;239590,996099999;11,427154455;47,2899562970001
5;Spielplatz Arzler Schießstand;Eggenwaldweg;Fußballplatz;Fußball/Football;82583,4576000003;239529,837099999;11,4247514150001;47,289429039
6;Spielplatz Arzler Schießstand;Eggenwaldweg;Leichtathletikanlage;Sonstiges;82578,5579000004;239501,086200001;11,424681349;47,2891710960001
7;Fitnessparkour Fit 2000 Hungerburg;Hungerburgweg;Fitnessparkour;Fitness/Klettern;80537,1831;239217,3509;11,397648771;47,2868725610001
8;Spielplatz Hungerburg;Gramartstraße;Sportplatz;Spielplatz;80319,8348000003;239190,5307;11,394771312;47,2866579390001
9;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;80242,8513000002;239003,210999999;11,3937202610001;47,284982744
10;Sporthalle VS Arzl;Framsweg 19;Sporthalle;Sporthalle;82705,7038000003;239009,126499999;11,4262709540001;47,2847309110001
11;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;80225,7300000004;238995,7119;11,3934926360001;47,2849173920001
12;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;80257,8644000003;238968,8519;11,393912518;47,284671916
13;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;80240,8602;238961,417400001;11,393686454;47,284607131
14;Sporthalle VS Mühlau;Hauptplatz 3;Sporthalle;Sporthalle;81636,3614999997;238883,886;11,4121155020001;47,2837381900001
15;Sportplatz Mühlenweg;Mühlenweg;Sportplatz;Spielplatz;81878,4483000003;238835,2586;11,4153060100001;47,283270794
16;Sportplatz Mühlenweg;Mühlenweg;Basketballplatz;Funsport;81849,6299000001;238833,0035;11,4149247390001;47,2832541000001
17;Spielplatz Gramartwiese;Gramartstraße;Sportplatz;Spielplatz;78998,5367000001;238742,943399999;11,377228997;47,2827927070001
18;Klettergarten Höttinger Steinbruch (ÖAV);Höhenstraße;Klettergarten;Fitness/Klettern;80293,7553000003;238694,272399999;11,3943376140001;47,2821982080001
19;Spielplatz Jugendwohnheim Schwedenhaus;Rennweg 17b;Sportplatz;Spielplatz;80682,0160999997;238149,081700001;11,3993704820001;47,277247743
20;Sportanlage BHAK/BHAS Innsbruck;Karl-Schönherr-Straße 2;Leichtathletikanlage;Sonstiges;80745,3442000002;238035,4405;11,4001868340001;47,2762179850001
21;Sporthalle VS Neuarzl;Rotadlerstraße 10;Sporthalle;Sporthalle;83495,5307999998;237962,411699999;11,436514174;47,2752180140001
22;Sporthalle VS Neuarzl;Rotadlerstraße 10;Sporthalle;Sporthalle;83478,3086999999;237957,295299999;11,436285652;47,2751741880001
23;Spielplatz Schützenstraße;Schützenstraße;Sportplatz;Spielplatz;83419,5558000002;237901,607799999;11,435498936;47,27468084
24;Spielplatz Reichenauerpromenade;Reichenauer Straße;Beachvolleyballplatz;Funsport;82756,6310999999;237913,4263;11,426741491;47,2748708300001
25;Spielplatz Reichenauerpromenade;Reichenauer Straße;Streetballplatz;Funsport;82799,5312999999;237894,407600001;11,4273048430001;47,2746943980001
26;Spielplatz Grüngürtel Reichenau Ost;Roßbachstraße;Sportplatz;Spielplatz;82425,5883999998;237889,7476;11,4223628400001;47,274699436
27;Spielplatz Reichenauerpromenade;Reichenauer Straße;Skate-/Rollerbladeplatz;Funsport;82856,7561999997;237858,323999999;11,428054316;47,2743626930001
28;Spielplatz Kärntner Park;Kärntner Straße;Sportplatz;Spielplatz;81732,1375000002;237836,65;11,4131901160001;47,2743084190001
29;Tennisclub IEV;Reichenauer Straße 144;Tennishalle;Tennis/Squash;82685,3518000003;237831,531500001;11,42578451;47,274143307
30;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;82687,6913000001;237786,850099999;11,4258071730001;47,2737411910001
31;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Sportplatz;Spielplatz;82635,9726999998;237771,8193;11,425121022;47,273612514
32;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Leichtathletikanlage;Sonstiges;82609,2659;237773,946900001;11,4247685280001;47,2736350010001
33;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Leichtathletikanlage;Sonstiges;82609,9533000002;237750,4849;11,424773283;47,27342392
34;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;82797,7282999996;237743,0381;11,427253035;47,2733333510001
35;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;82780,7380999997;237742,649599999;11,4270284670001;47,273331995
36;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;82763,7122999998;237742,2585;11,426803428;47,273330619
37;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;82746,6865999997;237741,8675;11,426578391;47,2733292440001
38;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;82729,4354999997;237741,473999999;11,426350374;47,2733278740001
39;Spielplatz Grüngürtel Reichenau West;Gutshofweg;Sportplatz;Spielplatz;82167,3393999999;237744,073100001;11,418923701;47,273421672
40;Sportanlage VS Saggen - Siebererschule;Siebererstraße 7;Sportplatz;Spielplatz;80986,4785000002;237728,888599999;11,403317777;47,2734314950001
41;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Sportplatz;Spielplatz;82590,9408;237726,501399999;11,4245176430001;47,273210621
42;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Sporthalle;Sporthalle;82636,4765999997;237735,0078;11,425120888;47,2732814030001
43;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;82815,1983000003;237732,843599999;11,427481986;47,273239473
